Frame#,Time,Abdomen_rot,Abdomen,calcn_l_rot,calcn_l,calcn_r_rot,calcn_r,femur_l_rot,femur_l,femur_r_rot,femur_r,hand_l_rot,hand_l,hand_r_rot,hand_r,head_rot,head,humerus_l_rot,humerus_l,humerus_r_rot,humerus_r,lumbar1_rot,lumbar1,lumbar2_rot,lumbar2,lumbar3_rot,lumbar3,lumbar4_rot,lumbar4,lumbar5_rot,lumbar5,patella_l_rot,patella_l,patella_r_rot,patella_r,pelvis_rot,pelvis,radius_l_rot,radius_l,radius_r_rot,radius_r,sacrum_rot,sacrum,talus_l_rot,talus_l,talus_r_rot,talus_r,tibia_l_rot,tibia_l,tibia_r_rot,tibia_r,toes_l_rot,toes_l,toes_r_rot,toes_r,torso_rot,torso,ulna_l_rot,ulna_l,ulna_r_rot,ulna_r
0,0.017,1.6691769947570015e-05,0.00030222720556327427,1.9012514002047102e-05,0.00030222720556327427,3.816896947776906e-05,0.0003199895745419986,0.0001649518206680111,0.0003641026286287002,0.00015147050855579785,0.0003479964504366262,0.00026800287400698927,0.0003479964504366262,0.0002725860303026665,0.00034799645043656846,0.00030412564500896397,0.000347996450436569,2.724558083207685e-05,0.0003262639970339783,0.0001397288529936717,0.00032907609112435956,0.0001275741461734173,0.00034876236045022725,0.0002644588938238878,0.00034876236045022725,0.0002727077404492509,0.0003487623604501894,0.0002949495644758815,0.0003487623604502062,2.5762999076510834e-05,0.00027027206580653123,3.065645636542382e-05,0.00023141942025583224,3.53736850938662e-05,0.000165644199884562,3.853229490572308e-05,0.00011572180373970833,3.95632629112594e-05,0.00010480356523803528,4.570159368321896e-05,0.00012132964647680978,0.0006697322858668393,0.0011444522828178033,2.0184454502500836e-05,0.00011169541886632621,3.821446317122961e-05,0.0005164756312509151,7.174739612195983e-05,0.0004319903661015505,7.749387594959149e-05,0.00040186257778458706,0.0001335643011999486,0.0004010379435378614,3.909366029198403e-05,0.0006305277164199203,8.92614645035317e-05,0.0006048760560856804,7.75139695875131e-05,0.0012046761252566443,8.906839435558028e-05,0.001201997114929916
1,0.033,4.542894323543418e-05,0.0010763834388258671,3.7378821622298504e-05,0.0010763834388258671,0.0001327888789945462,0.001091131414342608,0.00047384858112381033,0.0011231277675272896,0.00043476457152794696,0.0011007492732142798,0.0008356873882563845,0.0011007492732142798,0.0008557576847882333,0.0011007492732142572,0.0009403305371063596,0.0011007492732142679,5.5689088191520996e-05,0.0010622995622848828,0.0004145509002038284,0.0010654661447146,0.0003772096920965739,0.001064477439503492,0.0007907854182088188,0.001064477439503492,0.0008130275004501352,0.001064477439503492,0.0008874231644120755,0.0010644774395035016,0.00012075437634995313,0.0009598352496554209,0.0001390910548131852,0.0008105850356338304,0.00015641533466937002,0.0005612751667538747,0.00016795824649342174,0.00041052799017646886,0.0001723467007702921,0.0004477140137021918,0.0002014652499655718,0.0005670700065916982,0.0011792461319849097,0.002041597073420251,4.499124129607213e-05,0.0006384381456885431,0.00013487319943070845,0.001071649278127594,0.00011522517046728532,0.0008783548802074916,0.00012710748264013362,0.000882758273868118,0.00016894293518476342,0.0008821594057239855,0.00011223059841014461,0.006643017995969382,0.00043348745102339775,0.006884012746065126,0.00038167560880131095,0.017877648463067858,0.00033109347867732875,0.017879927400581277
2,0.05,7.791309883022169e-05,0.0007647228401095086,8.358905132230246e-05,0.0007647228401095086,0.00014847980902336517,0.000773126614434887,0.00039167252490975366,0.0008029379106454065,0.00036456028462342877,0.000784353186549959,0.0006434417723891848,0.000784353186549959,0.000658396070680819,0.000784353186549951,0.0007162830588955555,0.000784353186549951,6.526759881393396e-05,0.0007580425039133197,0.0003221890326817872,0.0007585834702426502,0.00029639456017188485,0.0007624278014940848,0.000596498748367163,0.0007624278014940848,0.0006128878078085653,0.0007624278014941108,0.0006639680283848381,0.0007624278014941006,8.443905047183485e-05,0.0007139279578939457,9.156841310238059e-05,0.0006528639804268799,9.999621241328491e-05,0.0005471816920961237,0.00010785007866010532,0.0004856501866106393,0.000113404867695138,0.0004915548936911067,0.00011764951315748563,0.0005366817760816791,0.0013298576761789154,0.002386584527310971,7.340990906714279e-05,0.0005582246226387697,0.0001576472282262147,0.001362375898052047,0.00019652571213784223,0.0012173093609086057,0.00021107395370572333,0.0011886888967870325,0.00015779904038685656,0.0011877036131029066,8.434231786377243e-05,0.007770027896319765,0.0006048703037842679,0.007899674548814128,0.00048780150125995694,0.020256020762344392,0.0004961709629143647,0.020257410959015912
3,0.067,0.00011579153452168233,0.0012778668422107143,9.405683864624194e-05,0.0012778668422107143,0.00010743292440538412,0.001342276494270283,0.0004264858993672608,0.0013134288341164434,0.0003825151842293273,0.0013241038771204501,0.0009143327651211605,0.0013241038771204501,0.0009483377142033342,0.0013241038771204315,0.0010252336524648367,0.0013241038771204501,0.00013897485228740115,0.0012823922671689695,0.0004821924982840356,0.0013274286072425352,0.00043861053741723813,0.0012670843249981728,0.0008925127281752275,0.0012670843249981728,0.0009197293970158694,0.0012670843249981728,0.0010069721349094476,0.0012670843249981804,0.0002077036497858359,0.0010709924476923602,0.0002311339534783886,0.0008028345867398883,0.000250819770607595,0.00033629906635711216,0.0002588099601422387,0.00020788547403773308,0.00025491173795400403,0.0005844463013011473,0.0003189562646145966,0.0008910682458661811,0.0015518101768727402,0.0033561068226818677,0.00014495363395081797,0.0010599746965056533,0.00016782849983906632,0.0008712991780235867,0.00021914271589159535,0.0007359353422030172,0.0002202693629875259,0.000721264700473491,0.00010435132492706527,0.0007317951435988241,0.00012322749845098888,0.003700915563382215,0.0005397280507966462,0.003065967835357891,0.0005706929691138901,0.006046195088157141,0.00040317694816588884,0.006055042881472058
4,0.083,5.2049491025102864e-05,0.001262619720769888,2.9572622163469636e-05,0.001262619720769888,0.00014031986964755814,0.0013154017683140848,0.00045465108625167457,0.0012767293764392215,0.0004147196823925879,0.0012962072503371613,0.000950092746854786,0.0012962072503371613,0.0009907034261948692,0.001296207250337169,0.0010451370373422263,0.0012962072503371613,7.651338291029782e-05,0.0012934745039090432,0.0005037082513854361,0.001347054461505832,0.00045883168453334796,0.0012759838491688976,0.0009439653258190891,0.0012759838491688976,0.0009754091544289282,0.0012759838491689412,0.0010534609358536769,0.00127598384916894,0.00014379137436411373,0.0010736318074867936,0.0001676793131487898,0.0008301107370129559,0.00018830677858705088,0.0004057382392741473,0.00019815335387695306,0.00013492394497306457,0.00019633102170941075,0.0004331793932798032,0.00024762845837603375,0.0007084984903195621,0.0008684076097375241,0.002332492669975973,8.864550083428788e-05,0.0008713104003202007,9.946555982194776e-05,0.0006397416845140697,0.00012695095578281682,0.0005637327541164611,0.00012949159583473124,0.0014372325832512191,9.745264617795e-05,0.0014408499361788772,0.00011769048174260207,0.0035714591570250778,0.000587715975962943,0.0017518642996618386,0.0005874436377898885,0.0028548084218415056,0.0004980359362106544,0.00285795796766893
5,0.1,6.747310422353835e-05,0.0003431420789984769,6.210927529216828e-05,0.0003431420789984769,7.795032485418928e-05,0.00038804418025668234,5.480516017524309e-05,0.0003833140303704426,4.817215328010628e-05,0.0004008286107986312,0.00021677321282303168,0.0004008286107986312,0.00023613002407898268,0.0004008286107986315,0.0002308613987556172,0.0004008286107986312,3.501585043239612e-05,0.00041379481817264844,0.00011865817045057248,0.00046592485251355806,0.00010264800155321617,0.00043131303676442745,0.0002622391268013055,0.00043131303676442745,0.000275229593062368,0.00043131303676442745,0.0002969546592867518,0.0004313130367644306,8.638270785134607e-05,0.00031385918315843047,9.303457764269338e-05,0.00031820169350795695,9.815710348810164e-05,0.00035459384100110594,9.871592770809294e-05,0.0004332865075837222,9.435114727765618e-05,0.0005323658623070074,0.00011092043537593318,0.0006288000308097792,0.0003139537510927085,0.0006538621008316081,0.00011478131801300644,0.0006446560026988753,9.985525506276186e-05,0.0009636647709390412,0.00010336520554914704,0.001206479969051333,7.67013762473294e-05,0.0031777604910576446,0.0001983414997862897,0.003172233101241063,0.00010360569718276242,0.003918939327535585,0.000712292165750286,0.001995675607605235,0.0006711360437788421,0.0025603491941522706,0.0005769208057664255,0.0025642767545672475
6,0.117,0.00011175941431116635,0.000593802168023867,0.00010566896256792019,0.000593802168023867,0.00012478915588092973,0.0005865928729253005,0.00017468068050595836,0.0005804681267370943,0.00016507616171828913,0.0005807469107710446,0.00036461381945524245,0.0005807469107710446,0.00038949231306328164,0.0005807469107710424,0.00038834829030373624,0.0005807469107710446,7.184883455996011e-05,0.000604976666888013,0.00013992888108388813,0.0006279016474036778,0.00012491729592705814,0.0006084675777446246,0.0003647215198229873,0.0006084675777446246,0.00038758904951869647,0.0006084675777446171,0.0003986945768439615,0.0006084675777446194,0.0001322515059693034,0.0005506950624985108,0.00014354613382548413,0.0005533331489878824,0.00015243838786605315,0.0005896160318855791,0.0001543083523721325,0.0006932822043200307,0.0001481570360297636,0.0008384676233560795,0.00017032795416097737,0.000986393175124623,0.0004765723514598024,0.0007929439887038509,0.0001880614795235085,0.0009955878067224953,0.00017910917719581105,0.0011529519571752364,0.00017357178344224011,0.0013115887327030018,0.00014177092309367045,0.0032467249273426405,0.0003298418841839221,0.0032437545983168728,0.00015091796604146298,0.004993193667667141,0.000779875332719377,1.570239465451046,0.0008233678537881659,0.010042079594418133,0.0006697452932783506,0.010039138231656076
7,0.133,4.9443792965552434e-05,0.0004559149169028347,4.1993911744841154e-05,0.0004559149169028347,5.917919563568265e-05,0.00045351486796518017,0.00012199554226370609,0.0004462194729653668,0.00011092715024839232,0.0004489522742310836,0.00029335410702553287,0.0004489522742310836,0.0003112049120993366,0.00044895227423107445,0.00031729738157795746,0.0004489522742310744,3.234094676214555e-05,0.0004655406870764339,0.0001409331564364117,0.0004773585968940479,0.00012704761496724323,0.00045859721206891336,0.0003062978454071933,0.00045859721206891336,0.0003215419733084229,0.0004585972120689175,0.00033741730832992676,0.00045859721206890924,7.576126120996174e-05,0.00046118590533814286,8.650220098879796e-05,0.00058535138090431,9.523229489518147e-05,0.0007673000991136027,9.732987913893642e-05,0.0009553853866571228,9.111858192956675e-05,0.0011501915933070652,0.00010212295880124253,0.0013365226857586516,8.375917155249843e-05,0.00017619845864382905,0.00018241598337482648,0.0013365047021800338,0.00023604243221564132,0.0010305854983247474,0.0002806563373414735,0.001020961440477615,0.00027273407461924834,0.0017276036217910393,0.0004211115025331267,0.0017251840429284068,0.00014793354310624321,0.004670781094117834,0.0008212703096580415,1.5691447782616184,0.0008358619423939368,0.007524972140832114,0.0007699517763954399,0.007522554099673323
8,0.15,5.020506968585929e-05,0.0001581477388696451,5.018060816200522e-05,0.0001581477388696451,4.6101408070758606e-05,9.291136587100364e-05,1.4332539499726661e-05,0.00012561036896166866,1.8361961544464913e-05,0.00012714344648376012,3.9682554621701197e-05,0.00012714344648376012,4.498779411566583e-05,0.00012714344648377503,3.9693550456902066e-05,0.00012714344648376012,4.785211357397435e-05,0.0001143200141011975,3.540061585361546e-05,0.00014580959927799653,3.291216976571846e-05,0.00014719525895677917,7.230619740384502e-05,0.00014719525895677917,7.828597416118756e-05,0.0001471952589567975,7.768606662148773e-05,0.00014719525895677917,5.034053051300734e-05,0.00023234433601083352,5.3063870177471464e-05,0.0005280318517663086,5.496609519322154e-05,0.0008404733907720358,5.392468687599362e-05,0.0011003502130019621,4.905735111303319e-05,0.0013422381129900285,4.377288297559095e-05,0.0015657869655181312,0.00027685953885928967,0.0007351266093465517,0.00019068946702756554,0.0015674771188942214,0.00026132166104081726,0.0010740518795282756,0.00039349346152937534,0.001109242648211818,0.00039616131287973684,0.0008809362579118704,0.0004374742041034788,0.0008796202504335808,0.00017919184153190502,0.003963924433314593,0.0008390404404995363,1.5736109102885276,0.0008161741826718318,0.004122182537589349,0.0008759959312326346,0.00411538763449471
9,0.167,8.464708098063582e-05,0.0003955523175112031,8.196794456464084e-05,0.0003955523175112031,4.5278652913461966e-05,0.0005172325136240467,0.00015167897616113107,0.0006371169138126844,0.0001287832823916594,0.0006154225707572318,0.0003425490334111076,0.0006154225707572318,0.00036417440117341435,0.0006154225707571533,0.0003865120797038647,0.0006154225707571531,0.00010925307720399449,0.0005166711772877251,4.851435997448327e-05,0.0005559914916341273,3.949626240975914e-05,0.0005959136846676137,0.0002784435729420711,0.0005959136846676137,0.0003066927802988894,0.0005959136846676258,0.0002975324542897708,0.0005959136846676137,9.154912915095156e-05,0.0005329536043151582,9.771896203979237e-05,0.000749892125714103,0.00010309986396669186,0.0009916264590047695,0.00010497760065123316,0.001200770264814912,0.00010187144081877153,0.0014007853832647482,0.00010100723828653188,0.0015885965061252397,0.0004913590453878641,0.0009941815403551487,0.00021080816206227603,0.0015848145530763056,0.00020653911407180763,0.0017434854285405515,0.0004803315129643032,0.0015538937713034144,0.0004888737783598242,0.0016394311926663113,0.00044793720991736813,0.001644793101373298,0.0002879085881671482,0.0025874659629989754,0.0006460566084453756,1.573418620171771,0.000629815420694366,0.003776399700563286,0.0008549743567084285,0.003770382447866188
