Frame#,Time,Abdomen_rot,Abdomen,calcn_l_rot,calcn_l,calcn_r_rot,calcn_r,femur_l_rot,femur_l,femur_r_rot,femur_r,hand_l_rot,hand_l,hand_r_rot,hand_r,head_rot,head,humerus_l_rot,humerus_l,humerus_r_rot,humerus_r,lumbar1_rot,lumbar1,lumbar2_rot,lumbar2,lumbar3_rot,lumbar3,lumbar4_rot,lumbar4,lumbar5_rot,lumbar5,patella_l_rot,patella_l,patella_r_rot,patella_r,pelvis_rot,pelvis,radius_l_rot,radius_l,radius_r_rot,radius_r,sacrum_rot,sacrum,talus_l_rot,talus_l,talus_r_rot,talus_r,tibia_l_rot,tibia_l,tibia_r_rot,tibia_r,toes_l_rot,toes_l,toes_r_rot,toes_r,torso_rot,torso,ulna_l_rot,ulna_l,ulna_r_rot,ulna_r
0,0.017,0.00023420989539609183,0.0007870544066029946,0.00022299736925632878,0.0007870544066029946,0.00017581583240507243,0.0009457389994416206,0.0002987768828576273,0.0011053060018797302,0.00026432180141571936,0.0010617838348375842,0.0006323454752148377,0.0010617838348375842,0.0006624907709416385,0.0010617838348376963,0.0007148538798494275,0.001061783834837696,0.00021224121826157069,0.0008075670446080307,0.0001711926630534259,0.0008356572651005738,0.00016710242798952658,0.000888338743203779,0.00042980302846482336,0.000888338743203779,0.00047088011781347763,0.000888338743203779,0.0004479861024146826,0.000888338743203779,0.00026555078404640514,0.0006789525891812995,0.00028114829066373657,0.0005611368187810874,0.00029218456000788313,0.00041974272045749815,0.00029324524089749014,0.0004843908126945706,0.0002851600429765619,0.0006721714744982796,0.00033234666082404963,0.0008550568902324971,0.0023191692359867838,0.00623157226278365,0.00025899253700146775,0.0009136739411181634,0.00023565662032271227,0.0017389528884949935,0.0003239881204583727,0.001556454413770127,0.0003580238127669313,0.003399702764014069,0.0007152374142995465,0.00336433238219062,0.00015748689277149337,0.002145316711858277,0.00018263076387500744,0.0018219180209991714,0.00018386369776193152,0.004232606694074597,0.00036518236889154646,0.0041979150472473805
1,0.033,0.0002320890651221831,0.0010645248222959027,0.00021584383799753016,0.0010645248222959027,0.00016992374459460987,0.0012571148165996357,0.00044273479148094303,0.0014614521451739053,0.00039290673734513546,0.0014016932287423513,0.0008913579427905074,0.0014016932287423513,0.0009265495465818693,0.001401693228742408,0.001010224163901314,0.001401693228742408,0.00021865807796462653,0.0010886132841185616,0.0002255381343338894,0.001119808303630553,0.0002050219802510353,0.0011945071716925897,0.0006699710451346719,0.0011945071716925897,0.0007228641669292829,0.001194507171692551,0.0007152271461256094,0.001194507171692546,0.0002861700020953059,0.0009130774064817183,0.00030680621778361657,0.0007358368748184421,0.0003225963161637217,0.00047388938772436104,0.0003266769341050649,0.0004650397017964628,0.0003193994335117356,0.0006818544399160443,0.000374302841002662,0.0009070473440707831,0.0019911130530488913,0.005865112383267149,0.0002665631665862451,0.0009719280752328219,0.00024305941473218222,0.0013587302096208652,0.0002716781254237696,0.0012795668715232143,0.0002992823292307188,0.0034334997380526333,0.0005937384513671384,0.003402945374557794,0.0001895896033185051,0.002505012713356728,0.00026606102710718374,0.002108982862121871,0.0002518855507763026,0.0033231953058968124,0.00033116530800538115,0.0032920398450390406
2,0.05,0.00027170251521148705,0.0028782039986913733,0.00021850022862915887,0.0028782039986913733,0.0002804898368656464,0.003054548705317334,0.0011353704816235806,0.0032568421053628754,0.0010242202261328056,0.0031612540058495696,0.0021870887897302693,0.0031612540058495696,0.0022542997137905,0.0031612540058495544,0.0024724531181882503,0.0031612540058495696,0.0002803417963494872,0.002753021296178406,0.0008198450014229978,0.0027434914868024575,0.0007375148182296584,0.002806585915803954,0.0018819272385874185,0.002806585915803954,0.0019738973000045725,0.002806585915803954,0.00207454349212421,0.0028065859158039642,0.0004786012065288376,0.0024875482906614554,0.0005337193151495799,0.0019777377982439946,0.0005813456968158861,0.0010718027306905393,0.0006062903647353078,0.0004145856223974868,0.0006068327577754824,0.0008579640225272156,0.0007158209980758081,0.0014218795878241134,0.0024121220612144073,0.006299818301578036,0.00031573917896284893,0.0016797123581952097,0.000399687770896787,0.0017545088902863799,0.0002086903353879455,0.0015941945792343239,0.00022265880119698336,0.004278808970335391,0.00043803516847458116,0.00424270533704204,0.0003408476168851639,0.013069462220098008,0.00100103909042406,0.013388290388739846,0.0008563805627455344,0.03179192995913694,0.0005650324798625568,0.03182535902676052
3,0.067,0.00017430818080538558,0.0025627794019034604,0.00012973991978421095,0.0025627794019034604,0.000278149069286263,0.0027488381798475856,0.0011291454967384497,0.0029979816538833488,0.0010269756814557654,0.002894262597897187,0.0020643445293787523,0.002894262597897187,0.0021258894543116883,0.002894262597897187,0.0023257699900371014,0.002894262597897187,0.00016389511237730774,0.0024906023269990933,0.0007390473593873709,0.002486659526648022,0.000664168107325289,0.0025797242627412205,0.0017380495180315178,0.0025797242627412205,0.0018260334652952415,0.002579724262741214,0.001907231616625771,0.0025797242627412136,0.00034965996862546645,0.0022626406847488685,0.00040022254310442964,0.001870573543470558,0.0004452091046807728,0.0011716907781027014,0.00047342959807924757,0.0006142475868486174,0.00048201699315602404,0.0006540411772279685,0.0005476259927272712,0.001007102420657028,0.0018461794835645997,0.0046479624765122345,0.00021423733746975777,0.001174023762851575,0.0003790743566673059,0.0029486263147740868,0.00021670989478225387,0.0026665877052053245,0.000248300897430229,0.00504933180729639,0.00040948602593786896,0.005016504321169275,0.00032428407084069945,0.01607299285518796,0.0014262132797985786,0.016040605637731936,0.0011453488712858935,0.03776382291566975,0.000977186419179519,0.037792426301551905
4,0.083,9.219146212496873e-05,0.00048304105898188174,8.755234475508881e-05,0.00048304105898188174,7.077225018617605e-05,0.0010973164561720184,0.0005400646763545023,0.0014236319773594354,0.00048263252234657125,0.0013907272486645853,0.0009023675147840412,0.0013907272486645853,0.0009238258764436493,0.001390727248664584,0.0010515222477931096,0.0013907272486645853,4.539714211865756e-05,0.001072950856715962,0.00041672068405595374,0.0012930469753264229,0.00036673385394521294,0.0013355235923750415,0.0007878947291557186,0.0013355235923750415,0.000814273095027243,0.0013355235923750415,0.0009146536469058931,0.0013355235923750409,0.00010245086367459454,0.0004926915081962823,0.00011464399558634058,0.0005189903987849175,0.00012702402454482873,0.0005538045609391359,0.00014067512993274424,0.0005874129993072624,0.00015282582573613785,0.0006222590765131605,0.0001172682156783246,0.0006560493882633307,0.0014574589730820566,0.002737058188242856,0.00014038593334323747,0.0006395402508799952,0.000302116175832961,0.0034213738863964334,0.00038127451437964437,0.0028480934236247207,0.00041247172223353017,0.00546308178776994,0.00037316404623339807,0.005443970114496002,0.00023541739904135578,0.013212198454533836,0.0017472685020377373,0.01099480788475137,0.0014971645564980105,0.02103087905349545,0.0012206138173105035,0.021045844467691886
5,0.1,7.217429225530473e-05,0.0005293618198274993,7.338014834039184e-05,0.0005293618198274993,6.261038908933605e-05,0.0013249674939206947,0.000622574344598485,0.001658548565506615,0.0005541693753516853,0.0016485158169746218,0.0010912239411389507,0.0016485158169746218,0.0011203957597288195,0.0016485158169746226,0.0012613589807495655,0.0016485158169746218,6.205994521516311e-05,0.0013363824949051857,0.0006055547663706567,0.001632745189427382,0.0005391041129354152,0.0016327027733166796,0.0010760949179942794,0.0016327027733166796,0.0011060344251473335,0.0016327027733167895,0.001241212096524958,0.001632702773316789,7.638323503551871e-05,0.0005445351626890473,8.473369034190234e-05,0.0005986887457470585,9.586511928367119e-05,0.000706828952550154,0.00011145650232326154,0.0008251552196563571,0.00012786199605790147,0.0009429128375511003,8.21173417103185e-05,0.0010530587153574594,0.001419975230652559,0.002347109179684362,0.0001035117898074666,0.0010729620441648228,0.0003534766479569311,0.004172316392961789,0.0004270656639429443,0.0034744472500000145,0.0004677961851715828,0.007762545127306316,0.00041280667840878975,0.007737201920406299,0.00020838135788536126,0.01939408511677726,0.002492738673131355,0.015797202137947223,0.002145683384642507,0.03338742369819012,0.001700489247284484,0.03340872051667788
6,0.117,8.960410900138653e-05,0.0005779660902724131,7.857352901364015e-05,0.0005779660902724131,9.546205222522591e-05,0.0014702689225585639,0.0005473684934762766,0.0017973724962805995,0.00047441776644108153,0.0018220502521259353,0.0010940762446544363,0.0018220502521259353,0.0011351614699613695,0.0018220502521259353,0.0012672880371568096,0.0018220502521259353,5.8362508166925384e-05,0.0015369793118557996,0.0006396000988760811,0.0019234938457186434,0.0005611397846454827,0.0018654894149001467,0.0011679831615826943,0.0018654894149001467,0.0012019391836248965,0.0018654894149001467,0.0013626034418780112,0.001865489414900156,0.00013673757831316328,0.0005752176845521033,0.00014716493868853673,0.0007077693777311155,0.0001568085175625665,0.0009577418735484204,0.00016191049666094338,0.00123320358555204,0.00016237534670948984,0.0015060385689557039,0.00017456044153146618,0.001753749633945841,0.0019579704531187798,0.003398447734933234,0.0002028854378936621,0.0018006446039096182,0.0004355874261224735,0.005133382070465729,0.00042033865632971456,0.0045193211050059,0.0004480627612359208,0.01153094030201896,0.0005846681601859421,0.011500490390584123,0.0001718293880791041,0.020748899899752007,0.0031569537281438483,0.014843648401494883,0.0028258507832521883,0.025938569372257227,0.002280805305537229,0.025962458231264314
7,0.133,0.00017475964214688772,0.001177643221904979,0.0001577016928491745,0.001177643221904979,0.00022078302567735166,0.0017464158910964365,0.0003826267723942796,0.0019069676208342652,0.00031539492909804235,0.0019917232190193096,0.0010981455926072157,0.0019917232190193096,0.0011689016717263035,0.001991723219019308,0.0012329684372586387,0.0019917232190193096,0.00010022941833731438,0.0018943047480727852,0.0007400501475774788,0.002302276043066371,0.0006528023198452363,0.0021478724950031785,0.0013702065238094152,0.0021478724950031785,0.0014150555125426731,0.0021478724950031694,0.0015841776535414859,0.0021478724950031785,0.00024169011871507875,0.001107379045576299,0.0002637874009220113,0.0012538961763232657,0.00028211308134267767,0.0015697637067523548,0.0002863723567853691,0.0019956603049860215,0.000275189035927946,0.0024615724147919,0.00032198108666779647,0.0028985811210025776,0.0022844457009733605,0.0038929617857109407,0.00038054215288316467,0.002954754336787973,0.0006222948690716895,0.005873213157748678,0.000349654730666161,0.005328906498753866,0.00031123885064200885,0.013997231596428012,0.000886267505114451,0.013965695358598441,0.00022852136377707964,0.022356210348268218,0.0038848864518922343,3.130835075604409,0.003603055803033665,0.01687722611293693,0.002932292456523504,0.016893855134452525
8,0.15,0.00018395323531096686,0.001358404221467844,0.0001598499585604551,0.001358404221467844,0.00021328643410557338,0.001962756251566315,0.00048468241146801564,0.0021075654303289813,0.0004080202849651296,0.002200566726879101,0.0012656478940721288,0.002200566726879101,0.0013390599491109672,0.0022005667268790016,0.0014258712625885338,0.0022005667268790016,9.632348998403592e-05,0.0021295146392715097,0.0008519953244361367,0.0025382203761725396,0.0007546907387560049,0.0023675981040834184,0.0015340521902060954,0.0023675981040834184,0.001578452548011092,0.0023675981040834288,0.0017775925255627113,0.0023675981040834184,0.0002749548914080879,0.0013609667586134092,0.00030392248666953685,0.0017674410636912676,0.0003275459778299145,0.0023916781871234616,0.00033206627772024795,0.0030451039694236993,0.0003150793329818177,0.0037085890091283465,0.0003633508520797149,0.004329288330387375,0.002122521048361605,0.003335920886163277,0.000546800325902161,0.004363257674643022,0.0008807159733712203,0.006174602905238002,0.0003828680168718398,0.0056104252552416555,0.0002537023990265668,0.014665610154613385,0.0012887008883225052,0.014629503463594712,0.0003060520112719419,0.025870629387256372,0.004727371936810657,3.1281692362647577,0.004421890321431791,0.017123365949806717,0.003685531108829138,0.017133839780376293
9,0.167,0.00021401052643422525,0.0013119516954027937,0.00019157675062294092,0.0013119516954027937,0.000182959998683522,0.0016818629883198185,0.00040080723726918335,0.0017478258365348901,0.0003377457620613817,0.0018296098762811339,0.0010389527974260992,0.0018296098762811339,0.0010971981941308093,0.0018296098762811339,0.0011788414418236596,0.0018296098762811339,0.00015792991170444416,0.0018934910766712613,0.0007581052888120725,0.0021854098525939877,0.0006767206125952941,0.002029841515089981,0.001300030466623686,0.002029841515089981,0.0013280630533508426,0.002029841515089981,0.0015207810155800127,0.002029841515089981,0.00029899425607372686,0.001446212190346245,0.00033039541528908213,0.002236173973066776,0.0003551806643038656,0.003241841397546254,0.00035778722208911786,0.004161537230216808,0.000334488099703496,0.00505154285645057,0.00036891858340205625,0.005880541893883531,0.001737706832911736,0.002486220186860543,0.0007374878710958649,0.005887487203871008,0.001137298269420174,0.005767752733064272,0.0007140445008050902,0.0054655505563292305,0.0006124860525229554,0.014326073204768105,0.0016525458652248064,0.014280624994809782,0.0004454584432301981,0.028898615855785546,0.005550783242743589,0.021345389816142552,0.00522295984983141,0.01838840932468393,0.004506139265096127,0.018390459152704628
