time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,L5_S1_Flex_Ext,L5_S1_Lat_Bending,L5_S1_axial_rotation,L4_L5_Flex_Ext,L4_L5_Lat_Bending,L4_L5_axial_rotation,L3_L4_Flex_Ext,L3_L4_Lat_Bending,L3_L4_axial_rotation,L2_L3_Flex_Ext,L2_L3_Lat_Bending,L2_L3_axial_rotation,L1_L2_Flex_Ext,L1_L2_Lat_Bending,L1_L2_axial_rotation,L1_T12_Flex_Ext,L1_T12_Lat_Bending,L1_T12_axial_rotation,Abs_r3,Abs_r2,Abs_r1,Abs_t1,Abs_t2,neck_flexion,neck_bending,neck_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0.017,95.59731265,1.94101111,89.08307401,0.4643079,1.70112444,0.15234762,54.17017712,-10.49292582,0.0,58.56212167,1.02210184,0.0,0.0,0.0,54.17017712,-10.49292582,0.0,58.56212167,1.02210184,0.0,0.0,0.0,-0.03512366,0.53196097,-2.03977563,-0.06522815,0.70750809,-2.16726161,-0.05770466,1.29340991,-2.16726161,-0.04014283,1.29340991,-1.78480368,-0.03261583,1.08477482,-1.6573177,-0.02006966,0.82400755,-1.52983172,-0.2508848,6.01764893,-11.34462013,0.0,0.0,11.60472027,-2.86222345,14.77359344,2.90184269,-26.80926788,9.64527249,92.06925492,47.83641505,0.0,4.91140584,36.54625522,-13.51326619,17.64766772,46.81199259,48.9671008,0.0,4.91140584
0.033,95.55256271,1.94068485,89.07887692,0.46422868,1.70132759,0.15243311,54.14967527,-10.48308504,0.0,58.57150476,1.02226561,0.0,0.0,0.0,54.14967527,-10.48308504,0.0,58.57150476,1.02226561,0.0,0.0,0.0,-0.03575025,0.52453059,-2.0447154,-0.06639178,0.69762568,-2.17251011,-0.05873408,1.27534368,-2.17251011,-0.04085896,1.27534368,-1.78912597,-0.03319768,1.06962278,-1.66133126,-0.02042769,0.81249788,-1.53353655,-0.25536044,5.93359494,-11.37209362,0.0,0.0,11.39623171,-2.93902449,14.53136984,2.96278817,-26.78889805,9.60929887,92.04651883,47.79378666,0.0,4.91380207,36.49365661,-13.61889672,17.5595319,46.97090063,48.90460929,0.0,4.91380207
0.05,95.47543214,1.93629718,89.08721459,0.46417881,1.70152928,0.15253444,54.11790097,-10.47373363,0.0,58.58482927,1.02249816,0.0,0.0,0.0,54.11790097,-10.47373363,0.0,58.58482926,1.02249816,0.0,0.0,0.0,-0.03692497,0.51336506,-2.0512327,-0.06857336,0.68277552,-2.17943474,-0.06066403,1.2481958,-2.17943474,-0.04220155,1.2481958,-1.79482861,-0.03428853,1.04685402,-1.66662657,-0.02109893,0.79520247,-1.53842453,-0.26375135,5.80728818,-11.40834091,0.0,0.0,11.32143004,-3.05913836,14.28835922,2.98631555,-26.73187212,9.57704037,92.03900544,47.75389313,0.0,4.91570598,36.40989271,-13.75377418,17.50087535,47.22226071,48.84855841,0.0,4.91570598
0.067,95.23012799,1.95054653,89.15928953,0.46420655,1.70185104,0.15257733,54.08913188,-10.45936671,0.0,58.59848689,1.02273653,0.0,0.0,0.0,54.08913188,-10.45936671,0.0,58.59848688,1.02273653,0.0,0.0,0.0,-0.03664742,0.47979516,-2.05215493,-0.06805792,0.63812757,-2.18041461,-0.06020804,1.16657396,-2.18041461,-0.04188433,1.16657396,-1.79563556,-0.03403079,0.97839829,-1.66737588,-0.02094033,0.74320271,-1.5391162,-0.26176884,5.42753883,-11.41347006,0.0,0.0,11.39052788,-3.27054518,13.94182577,2.83410913,-26.52914727,9.38222181,92.13079555,47.72409071,0.0,4.91932267,36.49097106,-14.38565108,18.87903631,47.67457246,48.91048701,0.0,4.91932267
0.083,95.18646697,1.93821596,89.14973238,0.46426171,1.70186644,0.15250307,54.04688822,-10.45238148,0.0,58.61508072,1.02302615,0.0,0.0,0.0,54.04688822,-10.45238148,0.0,58.61508071,1.02302615,0.0,0.0,0.0,-0.03699006,0.47744618,-2.050436,-0.06869425,0.63500342,-2.17858825,-0.06077097,1.16086264,-2.17858825,-0.04227594,1.16086264,-1.7941315,-0.03434897,0.97360825,-1.66597925,-0.02113612,0.73956413,-1.537827,-0.26421632,5.40096669,-11.40390991,0.0,0.0,11.57302607,-3.21778418,13.80883019,2.73196966,-26.47779478,9.20117956,92.3053745,47.69221869,0.0,4.92045086,36.18231143,-14.58195199,18.94765366,48.37215508,48.8779939,0.0,4.92045086
0.1,95.18764408,1.91611865,89.15423535,0.46429002,1.70198888,0.15248772,54.00746127,-10.44459789,0.0,58.63082951,1.02330102,0.0,0.0,0.0,54.00746127,-10.44459789,0.0,58.63082951,1.02330102,0.0,0.0,0.0,-0.03751375,0.47968051,-2.04403947,-0.06966679,0.63797508,-2.17179193,-0.06163135,1.1662952,-2.17179193,-0.04287447,1.1662952,-1.78853453,-0.03483527,0.97816451,-1.66078207,-0.02143536,0.74302512,-1.5330296,-0.26795699,5.42624192,-11.3683343,0.0,0.0,11.68232691,-3.19219412,13.77151527,2.55078953,-26.43160815,8.97357325,92.47035399,47.66071867,0.0,4.92201659,35.85039223,-14.98255309,19.42337141,49.25436072,48.87940046,0.0,4.92201659
0.117,95.17579667,1.87864862,89.14834377,0.46432015,1.70199736,0.1524863,53.9558624,-10.43454589,0.0,58.65134593,1.0236591,0.0,0.0,0.0,53.9558624,-10.43454589,0.0,58.65134592,1.0236591,0.0,0.0,0.0,-0.03555774,0.4818618,-2.03364504,-0.06603428,0.64087619,-2.16074786,-0.05841781,1.17159878,-2.16074786,-0.04063894,1.17159878,-1.77943941,-0.03301892,0.98261258,-1.6523366,-0.02031769,0.74640393,-1.52523378,-0.25398538,5.45091705,-11.31052365,0.0,0.0,11.85664144,-3.15028254,13.70377708,2.3867819,-26.35355148,8.64748795,92.6187328,47.61798072,0.0,4.92409995,35.39880543,-15.46449546,19.96358127,50.35129197,48.8724329,0.0,4.92409995
0.133,95.22025532,1.85808607,89.1525972,0.46425096,1.70189302,0.15234143,53.89934052,-10.42352454,0.0,58.6737452,1.02405004,0.0,0.0,0.0,53.89934052,-10.42352454,0.0,58.67374519,1.02405004,0.0,0.0,0.0,-0.03518091,0.4911805,-2.01250851,-0.06533446,0.65327006,-2.13829029,-0.05779871,1.19425626,-2.13829029,-0.04020826,1.19425626,-1.76094494,-0.03266899,1.00161527,-1.63516316,-0.02010237,0.76083859,-1.50938138,-0.25129369,5.55633201,-11.19296857,0.0,0.0,12.03433997,-3.08457469,13.56620986,2.14256693,-26.32676095,8.1818681,92.71698387,47.55027491,0.0,4.92644065,34.71481653,-15.82353235,20.07242179,51.74889709,48.82098132,0.0,4.92644066
0.15,95.30085531,1.82649861,89.14850728,0.46419322,1.70180342,0.15222469,53.84655356,-10.41293535,0.0,58.69471766,1.02441608,0.0,0.0,0.0,53.84655356,-10.41293535,0.0,58.69471766,1.02441608,0.0,0.0,0.0,-0.03495709,0.50423073,-1.97878218,-0.06491881,0.67062687,-2.10245607,-0.057431,1.2259866,-2.10245607,-0.03995245,1.2259866,-1.73143441,-0.03246115,1.0282273,-1.60776052,-0.01997448,0.7810534,-1.48408664,-0.24969497,5.70395886,-11.00539288,0.0,0.0,12.25023056,-3.06135758,13.36502355,1.9290073,-26.30549367,7.58655736,92.8360335,47.47425567,0.0,4.92863895,33.9116058,-16.21035817,20.12599961,53.4344839,48.76963494,0.0,4.92863895
0.167,95.35554046,1.77948172,89.14476603,0.46418201,1.70163027,0.15209331,53.7930178,-10.40021323,0.0,58.71631844,1.02479308,0.0,0.0,0.0,53.7930178,-10.40021323,0.0,58.71631843,1.02479308,0.0,0.0,0.0,-0.03322289,0.51482414,-1.9254763,-0.06169823,0.6847161,-2.04581857,-0.05458189,1.2517434,-2.04581857,-0.03797044,1.2517434,-1.68479177,-0.03085078,1.04982938,-1.5644495,-0.01898356,0.79746259,-1.44410723,-0.2373078,5.82379359,-10.70892156,0.0,0.0,12.40071979,-3.07007841,13.11065556,1.66116682,-26.36039856,6.87340982,92.92817829,47.38137309,0.0,4.93155853,32.97535362,-16.63242758,20.10745676,55.56134824,48.70553196,0.0,4.93155853
