Frame#,Time,Abdomen_rot,Abdomen,calcn_l_rot,calcn_l,calcn_r_rot,calcn_r,femur_l_rot,femur_l,femur_r_rot,femur_r,hand_l_rot,hand_l,hand_r_rot,hand_r,head_rot,head,humerus_l_rot,humerus_l,humerus_r_rot,humerus_r,lumbar1_rot,lumbar1,lumbar2_rot,lumbar2,lumbar3_rot,lumbar3,lumbar4_rot,lumbar4,lumbar5_rot,lumbar5,patella_l_rot,patella_l,patella_r_rot,patella_r,pelvis_rot,pelvis,radius_l_rot,radius_l,radius_r_rot,radius_r,sacrum_rot,sacrum,talus_l_rot,talus_l,talus_r_rot,talus_r,tibia_l_rot,tibia_l,tibia_r_rot,tibia_r,toes_l_rot,toes_l,toes_r_rot,toes_r,torso_rot,torso,ulna_l_rot,ulna_l,ulna_r_rot,ulna_r
0,0.017,0.00025814137444912094,0.00012101075771192209,0.000259103214737587,0.00012101075771192209,0.0002613870958115886,8.558594493591353e-05,0.0002335854722946782,0.00012067398606182287,0.00023782875174400926,0.00012444501023789706,0.00018506553237777364,0.00012444501023789706,0.00018129127954249225,0.00012444501023794265,0.00017662034534094464,0.00012444501023791985,0.00026569092948991674,9.125561658496816e-05,0.00024246499208610407,0.0001319182666903453,0.0002460434568193917,0.00012956351851882571,0.00019004538134772766,0.00012956351851882571,0.00018578806918472494,0.00012956351851887353,0.0001833209821988565,0.00012956351851887353,0.00025615354628840455,0.00014174201950807976,0.0002530882206114191,0.00023595273756204287,0.0002487500188304814,0.000422542683922926,0.00024189564965571356,0.0006220945347934443,0.00023514286516917735,0.0007971299800602092,0.00027367147361601567,0.0009353888414448943,0.0014061735198440963,0.003321289653133087,0.00021432873726158833,0.0009773713898167593,0.00021336740752034267,0.001692780327872125,0.0002779381147833001,0.0017365268663164068,0.00028706884974090944,0.002470153335466356,0.000164791171901957,0.0024731314849029506,0.00027503228245559985,0.003640488955828155,0.0003058639912005161,0.0023687859375156346,0.0002538126006644529,0.00467420070892055,0.00021979982307750179,0.004671720172414853
1,0.033,0.0003064842726092786,0.0006290341188271301,0.0002985194116960368,0.0006290341188271301,0.0002811468708631976,0.0006987030224238395,0.00016820799615420578,0.0006547859727846654,0.00017001951726760252,0.0006662944871497589,0.0003110012946837467,0.0006662944871497589,0.00032757074585829755,0.0006662944871497566,0.0003636837333919861,0.0006662944871497329,0.0003007106568073338,0.0006971246624066664,0.00028854492843356235,0.000712271129178202,0.00027883435398680026,0.000676048553246864,0.00036560235128275714,0.000676048553246864,0.0003705812301989832,0.0006760485532468868,0.00043455592963639,0.0006760485532468982,0.0003397527311197238,0.00048663579543893143,0.00034694077671847996,0.0003662592315748882,0.00035069366483937215,0.0004921134392088774,0.0003464841638291853,0.000876475323704439,0.0003376912636657852,0.001243609541661053,0.00041262157957626313,0.0015344104640539341,0.0017428739514360786,0.004277047317314935,0.00026089393581635583,0.0016420026358800856,0.0002994492505170556,0.0020557388450502556,0.0003665384235893469,0.002269208051310316,0.00037622692639448295,0.002708311245053812,0.00017099775142295176,0.0027189079349275933,0.00038635590956392636,0.004622593939305294,0.0003755592659067983,0.0027862930746607247,0.00031608586129283064,0.00500776831720971,0.00030878598031079386,0.004999153933961675
2,0.05,0.0003002886981331748,0.001813919798263912,0.0002716369498101154,0.001813919798263912,0.00025896899245964793,0.001944522114460044,0.0005566285098154125,0.0018442714395328877,0.000490499254778411,0.0018561345830992288,0.0012370445335516684,0.0018561345830992288,0.0012787935465221768,0.0018561345830992288,0.0014153914217205819,0.0018561345830991648,0.00029879392028575206,0.001916602427274733,0.0007220407148104069,0.001903729140579139,0.0006540047402373686,0.0018328161116767613,0.0012456962819007707,0.0018328161116767613,0.0012665889323466661,0.0018328161116767136,0.0014492737974850065,0.001832816111676727,0.0004301071549775202,0.0014974884426501977,0.0004596847456968043,0.0011026060608487103,0.00048320325486161654,0.0006912203328852697,0.0004887525475497997,0.001085472794564303,0.00047898576364665434,0.001694575170416948,0.0006087716563546946,0.0022005762400093723,0.001825627767495719,0.00470658657485117,0.00027712761706825034,0.0024102742917643145,0.00037878999889315047,0.0022208680325148345,0.0004448762436051745,0.0024561877391329153,0.0004522346141695111,0.002771387743604097,0.00012623921320577413,0.002796269111571906,0.000464675607553742,0.004998388867648412,0.00042130564624350036,0.002454957270292815,0.0003800614132447474,0.0032857976789573513,0.0003654763787092473,0.003269235053975466
3,0.067,0.00022045881477155812,0.0019401098005841122,0.00018860474928509804,0.0019401098005841122,0.00022236124860547266,0.0020758000104722516,0.0006700904935970645,0.0019792730460720903,0.0005984473640578748,0.00198582316397736,0.00140476064808379,0.00198582316397736,0.001450383577849797,0.0019858231639774066,0.001593126614590319,0.0019858231639774066,0.0002208239480499588,0.0020222536163620485,0.0007804131680898,0.0020025127275701193,0.0007061155676929588,0.0019327801160897225,0.0013770161949036236,0.0019327801160897225,0.0014034122122550986,0.0019327801160897071,0.001586060413144599,0.001932780116089694,0.0003658242981767068,0.001640927131972878,0.0003992387109531718,0.0012611912716605574,0.00042738641811173163,0.0007616099787946017,0.0004384512985954843,0.0009176044126939066,0.00043354640119704313,0.0014292874943095293,0.0005484716301316964,0.0018881594080761824,0.001484346308703214,0.0035254044495831942,0.00020982161744372723,0.0020969399263712153,0.0002784861763373851,0.0015174214310232313,0.00033475599650521705,1.569908377411505,0.000340460005592486,0.00176716945024436,8.48549606341431e-05,0.0017998482339759109,0.00038897238589494476,0.0047845112981182115,0.000477466536864934,0.002093023824493288,0.00045957522993033735,0.0021878295478921315,0.00034926620826735127,0.002186442435189262
4,0.083,0.00014994813002757506,0.0009954791191474294,0.00013520629375184012,0.0009954791191474294,0.00016362596177532218,0.001117177859513891,0.0001394376987066538,0.0010279902474533116,0.00012299657591001377,0.001045026830527873,0.0005918795699029323,0.001045026830527873,0.0006481392942356578,0.001045026830527874,0.0006205338757068458,0.001045026830527989,6.0359621193432646e-05,0.0011065100606296356,0.00031163944444296426,0.0011179399976442598,0.0002779049008838265,0.0010422510450468485,0.0006597814101391723,0.0010422510450468485,0.000703738384885374,0.0010422510450469591,0.000723171530432587,0.0010422510450469637,0.00018982838747435906,0.0008155584235726843,0.00020990056155530674,0.0006529290167971888,0.00022611324687900274,0.0005370172584162831,0.00023539121844282863,0.0007074784343696858,0.00023891079819935365,0.0009982199886255116,0.0002838134534546962,0.0012733192023535905,0.0010470349056978616,0.0018849343451789171,0.0001060678178274882,0.0014014153441825395,9.122847552910272e-05,0.0003459990548385429,0.00011066981068748986,1.5711378498832687,0.00010992731839665929,0.0014735311738333417,0.00012932213142873467,0.0014858343285415348,0.0002974566095949479,0.0050535255715646495,0.0006004464948487424,0.0024858628584531386,0.00060778479480106,0.00353647549238965,0.000408667598096777,0.0035468437105634033
5,0.1,5.792275805155763e-05,0.0003606435827433253,5.2073510489699606e-05,0.0003606435827433253,7.39068273053691e-05,0.00047307298829501267,8.94811543325452e-05,0.00047231368584815553,7.43325622060212e-05,0.0004781033145057847,0.00025957452342935427,0.0004781033145057847,0.0002773922051932186,0.0004781033145057339,0.00028939901787839427,0.0004781033145057362,3.37955440520436e-05,0.0004743034792540968,0.00017032994135565184,0.0005039647755522845,0.0001501061817467478,0.00047828908678968277,0.0003211234231618809,0.00047828908678968277,0.00033591012382434366,0.0004782890867897875,0.00036470575719746483,0.0004782890867897875,8.24878653279085e-05,0.0003709033090225957,8.890345237279379e-05,0.0003879051212472222,9.613269124675089e-05,0.00041378249294614865,0.00010311296447032303,0.0004434426307065973,0.00010787699780263229,0.00047791295276499644,9.424488795724465e-05,0.000515155650287427,0.0008798484450062036,0.0013446909184573637,0.0001189262307706648,0.0005195597867534703,0.0002145940274385745,0.0011246973742006108,0.00012749319980503318,1.570444828463562,9.837384708096432e-05,0.004454798977279175,0.00018716498073044683,0.00445342974106717,0.00011145107541960718,0.005024380649564211,0.0007431801310306043,0.003394274260314241,0.0007688813602926658,0.005230060395510562,0.0005554751415763773,0.005228736667854746
6,0.117,4.510261402063192e-05,0.000539033249329444,4.657278247614357e-05,0.000539033249329444,3.7484901904838406e-05,0.00051991416356177,0.0001936816273976989,0.0005169331894209576,0.00017820632084887206,0.0005134093086642979,0.0001612960633149928,0.0005134093086642979,0.00014531067067035007,0.0005134093086643389,0.0002166868333416265,0.0005134093086643085,6.203518310078337e-05,0.0005032868670270473,0.00018242106977669247,0.0005062430391105216,0.00016811432830774581,0.0005014605882535859,0.00013077583236688708,0.0005014605882535859,0.0001129079436051275,0.0005014605882536164,0.00018323778248678383,0.0005014605882536502,4.667861878274047e-05,0.00023748361615932102,4.955019255294388e-05,0.0008785835774287683,5.38569640926833e-05,0.001578868907686742,5.8560283844524336e-05,0.002163228605179042,6.242576053927893e-05,0.002706384579949324,4.6083073812300557e-05,0.0032063957643988774,0.0011276699237825478,0.002025134605849071,0.0003524036531936964,0.003220812538032612,0.000583799352297963,0.0027960770425815135,0.0002246564096653714,1.5704138997991477,0.00015992799101294562,0.008450378985970744,0.00045640476345638865,0.008452320013875412,0.0003275206045188767,0.003318437976686475,0.0007868350210947264,1.569888649775691,0.000797557117673636,0.003704503954584504,0.0006845908431222213,0.0037064053884834614
7,0.133,5.709088037510701e-05,0.0003352934963717165,5.31881755610063e-05,0.0003352934963717165,4.8770303147170495e-05,0.00034585432949157214,0.00015781094080838005,0.00035674202057616567,0.00014241436476726766,0.0003708440432306991,0.0002883673207125185,0.0003708440432306991,0.0002961099800698005,0.0003708440432306991,0.0003271666506433404,0.0003708440432306704,7.071099784527274e-05,0.00034187048714862513,0.00019355943433857362,0.0003990053082553205,0.0001769940085941504,0.0003810869916088772,0.0002974110878922437,0.0003810869916088772,0.0003000164852914424,0.0003810869916089145,0.00034438414026047786,0.0003810869916089145,7.900772453315648e-05,0.0005022620097129364,8.120924120675981e-05,0.0007882228867443475,8.406978821824261e-05,0.0011093291571210161,8.848427773523259e-05,0.001402079188047229,9.516509043705932e-05,0.001683023673397442,0.00010847088016118838,0.0019401064180970765,0.0004802839976924226,0.000710376471272648,0.00020414649306491883,0.0019543454873719537,0.00041335068336465007,0.0009373836548122763,0.00037313605887308754,0.00130716936836289,0.0003712557627304342,0.0019677440240234655,0.0003932540099133593,0.001959329290139166,0.0001599523986093799,0.005829021057946849,0.0008936432390946753,1.5696358676438156,0.0009388087287001563,0.009061295559505158,0.0008008839752764867,0.0090481504731027
8,0.15,9.273097928005783e-05,0.0005742611767948329,9.100545597481871e-05,0.0005742611767948329,0.00013198611495495393,0.000615672648750401,0.00032290155695050346,0.0006323989857186892,0.00029663771595821083,0.0006430511539502414,0.0004531098480297966,0.0006430511539502414,0.00045497797930172415,0.0006430511539502603,0.0005239824670770802,0.0006430511539502162,5.976859023879165e-05,0.000573679825822101,0.000247266961265997,0.0006065078929837597,0.00022335190661898913,0.0006062509193184672,0.0003354058863507778,0.0006062509193184672,0.0003216973135235995,0.0006062509193184795,0.00041417903839261686,0.0006062509193184918,0.00011656763592718585,0.000641789221793017,0.00011803330203575032,0.0007258870834633518,0.00012005334622491595,0.0008311217452413272,0.00012204105261114957,0.0009507705211568338,0.00012437252858741576,0.0010769295996658208,0.0001395766188358478,0.001193164948307544,0.00033803645214186957,0.0010016174223769112,0.0001414448812788263,0.0012257579302383146,0.000295227303815195,0.0026014027642861986,0.0005030477108297154,0.0024047587534870045,0.0005074203325624601,0.006037024753833847,0.0001447181183960031,0.006064230073142915,8.334418517061287e-05,0.006304168091282003,0.0009238744367470913,1.5732227691223801,0.0009496346229031987,0.008592859934590906,0.000973069808254077,0.008565312022089046
9,0.167,6.999300575240596e-05,0.0002273948597146723,6.914298865987265e-05,0.0002273948597146723,8.050295536547585e-05,0.0003282762715672142,0.00011933009797833337,0.00039719029309297774,0.00010630990040639685,0.00039116325526554794,0.000251519073402657,0.00039116325526554794,0.0002625105795677901,0.0003911632552656542,0.0002804605793298683,0.0003911632552656523,9.017479636967487e-05,0.00033216918319884953,0.0001368574684416562,0.00037630318496221024,0.0001238603572387644,0.0003970132514514182,0.0002742940068756029,0.0003970132514514182,0.00028748365100423424,0.0003970132514514182,0.0003021745326213791,0.00039701325145141616,8.43249011102507e-05,0.0006524382161686815,8.220392959631369e-05,0.0013509068489930339,8.208887466065876e-05,0.002072738053716457,8.358896590748918e-05,0.002674357204585228,8.767347550199574e-05,0.003232123097384757,0.00010897145537768898,0.003743849535512986,0.0004673340487368241,0.0013059675775000193,0.000371405965068726,0.0038111895597191126,0.00051338089547637,0.0022424483014572344,0.00017616833682991483,0.000797535963281128,0.00017316352004589707,0.0007586392350936794,9.796021980284994e-05,0.0007687724929443192,0.0005441363977585437,0.0010332283445688988,0.0005889884219817659,1.5734834497164898,0.0005718006510241125,0.003341555993967141,0.000892408887045778,0.0033422499423389437
